# x_m,y_m,w_tr_right_m,w_tr_left_m
-39.9795,44.1874,1.2022,1.2022
-39.9170,44.2499,1.2311,1.2311
-39.8545,44.2499,1.2071,1.2071
-39.7920,44.2499,1.1859,1.1859
-39.7295,44.2499,1.1676,1.1676
-39.6670,44.2499,1.1524,1.1524
-39.6045,44.3124,1.2022,1.2022
-39.5420,44.3124,1.1941,1.1941
-39.4795,44.3124,1.1891,1.1891
-39.4170,44.3124,1.1875,1.1875
-39.3545,44.3749,1.2500,1.2500
-39.2920,44.3749,1.2500,1.2500
-39.2295,44.3749,1.2500,1.2500
-39.1670,44.3749,1.2500,1.2500
-39.1045,44.3749,1.2500,1.2500
-39.0420,44.3749,1.2516,1.2516
-38.9795,44.4374,1.3184,1.3184
-38.9170,44.4374,1.3258,1.3258
-38.8545,44.4374,1.3361,1.3361
-38.7920,44.4374,1.3492,1.3492
-38.7295,44.4374,1.3650,1.3650
-38.6670,44.3749,1.3244,1.3244
-38.6045,44.3749,1.3463,1.3463
-38.5420,44.3749,1.3650,1.3650
-38.4795,44.3749,1.3835,1.3835
-38.4170,44.3749,1.4045,1.4045
-38.3545,44.3124,1.3707,1.3707
-38.2920,44.3124,1.3975,1.3975
-38.2295,44.3124,1.4266,1.4266
-38.1670,44.3124,1.4577,1.4577
-38.1045,44.3124,1.4909,1.4909
-38.0420,44.2499,1.4751,1.4751
-37.9795,44.2499,1.5104,1.5104
-37.9170,44.2499,1.5104,1.5104
-37.8545,44.1874,1.5104,1.5104
-37.7920,44.1874,1.5104,1.5104
-37.7295,44.1249,1.5117,1.5117
-37.6670,44.0624,1.4909,1.4909
-37.6045,44.0624,1.5258,1.5258
-37.5420,43.9999,1.5104,1.5104
-37.4795,43.9999,1.5117,1.5117
-37.4170,43.9374,1.5104,1.5104
-37.3545,43.9374,1.5104,1.5104
-37.2920,43.8749,1.5117,1.5117
-37.2295,43.8124,1.4909,1.4909
-37.1670,43.8124,1.5117,1.5117
-37.1045,43.7499,1.5104,1.5104
-37.0420,43.7499,1.5104,1.5104
-36.9795,43.6874,1.5117,1.5117
-36.9170,43.6874,1.5104,1.5104
-36.8545,43.6249,1.5258,1.5258
-36.7920,43.5624,1.5104,1.5104
-36.7295,43.5624,1.5117,1.5117
-36.6670,43.4999,1.5104,1.5104
-36.6045,43.4999,1.5104,1.5104
-36.5420,43.4374,1.5117,1.5117
-36.4795,43.3749,1.4909,1.4909
-36.4170,43.3749,1.5258,1.5258
-36.3545,43.3124,1.5104,1.5104
-36.2920,43.3124,1.5117,1.5117
-36.2295,43.2499,1.5104,1.5104
-36.1670,43.2499,1.5104,1.5104
-36.1045,43.1874,1.5117,1.5117
-36.0420,43.1249,1.4909,1.4909
-35.9795,43.1249,1.5117,1.5117
-35.9170,43.0624,1.5104,1.5104
-35.8545,43.0624,1.5104,1.5104
-35.7920,42.9999,1.5117,1.5117
-35.7295,42.9999,1.5104,1.5104
-35.6670,42.9374,1.5258,1.5258
-35.6045,42.8749,1.5104,1.5104
-35.5420,42.8749,1.5117,1.5117
-35.4795,42.8124,1.5104,1.5104
-35.4170,42.8124,1.5104,1.5104
-35.3545,42.7499,1.5117,1.5117
-35.2920,42.6874,1.4909,1.4909
-35.2295,42.6874,1.5258,1.5258
-35.1670,42.6249,1.5104,1.5104
-35.1045,42.6249,1.5117,1.5117
-35.0420,42.5624,1.5104,1.5104
-34.9795,42.5624,1.5104,1.5104
-34.9170,42.4999,1.5117,1.5117
-34.8545,42.4374,1.4909,1.4909
-34.7920,42.4374,1.5117,1.5117
-34.7295,42.3749,1.5104,1.5104
-34.6670,42.3749,1.5104,1.5104
-34.6045,42.3124,1.5104,1.5104
-34.5420,42.3124,1.5104,1.5104
-34.4795,42.2499,1.5117,1.5117
-34.4170,42.1874,1.4909,1.4909
-34.3545,42.1874,1.5117,1.5117
-34.2920,42.1249,1.5104,1.5104
-34.2295,42.1249,1.5104,1.5104
-34.1670,42.0624,1.5117,1.5117
-34.1045,42.0624,1.5104,1.5104
-34.0420,41.9999,1.5258,1.5258
-33.9795,41.9374,1.5104,1.5104
-33.9170,41.9374,1.5117,1.5117
-33.8545,41.8749,1.5104,1.5104
-33.7920,41.8749,1.5104,1.5104
-33.7295,41.8124,1.5117,1.5117
-33.6670,41.7499,1.4909,1.4909
-33.6045,41.7499,1.5117,1.5117
-33.5420,41.6874,1.5104,1.5104
-33.4795,41.6874,1.5104,1.5104
-33.4170,41.6249,1.5104,1.5104
-33.3545,41.6249,1.5104,1.5104
-33.2920,41.5624,1.5117,1.5117
-33.2295,41.4999,1.4909,1.4909
-33.1670,41.4999,1.5117,1.5117
-33.1045,41.4374,1.5104,1.5104
-33.0420,41.4374,1.5104,1.5104
-32.9795,41.3749,1.5117,1.5117
